uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Macchiato Woodfire Pizza & Coffee Roastery,Macchiato Wood Fire Pizza and Coffee Roasters,-5.393662250346056,a7197904193292043948,shPjCDKBS8yniR6O24Xyng,"italian,pizza","wood fired,morning,banoffee pie,surcharge,carnivore,cbd,dough,eggs benedict,base,domino","coffee wholesaler,wine bar,pizza,coffee,pasta,cocktail bar,coffee roaster,caterer,salad,italian"
Iconic Kebabs,ICONIC KEBABS AND RESTAURANT,-7.08276499032882,a14048922848554799725,DC8-d6ezWHe7CNutg11LcQ,"chicken,mediterranean,fish and chip,kebab","sauce,night,shish,falafel,price,snack,chip,chicken,lamb,gozleme","turkish,restaurant"
Johnny Gio's Big Italian Sandwiches (Waterloo),Johnny Gio's Waterloo,-3.566829180209462,a2512810574641897026,N7uijH7KW96uL1-Gr7OFtw,"italian,modern australian,sandwich","polenta,topping,garlic bread,chilli oil,arancini,meatball,mac n cheese,truffle butter,penne,italian",pizza
Johnny Gio's Pizza (Waterloo),Johnny Gio's Waterloo,-3.6910390587617674,a2512810574641897026,bvEXMzCPRKy2FG7ft9vbgg,"italian,gluten free friendly,pasta,pizza,comfort food,vegan friendly","polenta,topping,garlic bread,chilli oil,arancini,meatball,mac n cheese,truffle butter,penne,italian",pizza
Ankara Restaurant,ANKARA FAMILY RESTAURANT,-6.062220100730779,a16703198763124637577,u_1t4NX-QS-4YMkSN3t4kQ,"middle eastern,vegetarian,fried chicken,drink,turkish,mediterranean,halal,burger,pizza,snack,dessert,kebab","lamb,kebab",turkish
Hot Star Large Fried Chicken (Liverpool St),Hot Star Large Fried Chicken,-4.096595744680851,a15760668692281843864,meNJ9OAjRHK4pgwccakEdQ,"chicken,asian,family meal","spicy,jipai,crispy,batter,sweet potato fry,coating,chicken wing,cbd,hotstar,disgusting","taiwanese,fast food"
Little Hunan (Asian Flavour Haymarket),Little Hunan,-1.735,a6824095786585886388,M0gdZh4dRcacUFqbZBYiyQ,"allergy friendly,chinese","spicy,quick service,attitude,century egg,eggplant,lamb,waitres,disappointment,pork belly,stir fried","hunan,chinese"
Sindbad Kebab,Sindbad's Kebab & Pizza,-6.7,a15175918958627922329,AeEaCTipSDOSnvKbWnPZAg,turkish,"night,busines,rude,behaviour,chip,snack,money,gozleme,box,wrap",kebab
Guylian Belgian Chocolate Cafe,Guylian Belgian Chocolate Café,-3.648510324483776,a8339268205274749201,1VzNmfyLQPGBcAG10mfAfw,"cafe,dessert,pastry","hot chocolate,croissant,cheesecake,mocha,milk chocolate,table,train,takeout,cup,dark chocolate","coffee,chocolate cafe,breakfast,cafe"
Chat Thai (Thaitown),Chat Thai,-0.8653914664457332,a8053669082264319810,LW7hRtIuSV2_c1ezTLOcmA,"gluten free friendly,thai,vegetarian friendly,organicproduct","queue,bone,attitude,book,theatre,cbd,kale,donut,pork belly,crab omelette",thai
