uber_Name,google_Name,average_health_score,google_cid,uber_id,uber_categories,google_Category
Fishbowl (Wintergarden),FISHBOWL - Wintergarden,-1.9293993205793696,a14253721263269926900,PweeUt1JRf69TgklQ5D3oQ,"vegetarian,plant based,gluten free,organicproduct,keto,vegan",salad
Fishbowl (Darlinghurst),FISHBOWL - Darlinghurst,-1.5947489213354997,a2255394657938930450,LkDAajVhR2yexBL3HIL0Sw,"gluten free friendly,vegan friendly,vegetarian friendly,soul food,sushi,japanese,asian,healthy,fast food,rice bowl,salad",salad
Christopher's Cake Shop (Surry Hills),Christopher's Cake Shop Surry Hills,-3.2197947281535004,a12226298558622539508,gM9BpiTwR0eIe1KVljNYyg,"vegetarian,dessert,bakery",cake
Don Don City,Don Don City,-1.2233333333333334,a7545317927124676348,9Mih77wiR2GaDqsUPQSgKQ,"korean,japanese,chinese",korean
Eat Fuh (Darlinghurst),Eat Fuh,-0.33,a10441839373426992110,95Uz4yn2SFmbw1--hZA8vw,vietnamese,vietnamese
Fortune Village Chinese Restaurant,Fortune Village Chinese Restaurant,-1.7566666666666666,a10176952176378252149,St3d3oOrS8GSiaYJtLalqw,"modern australian,asian,chinese",chinese
P'Nut Street Noodles (The Rocks),P'Nut Street Noodles,-2.6651815555588114,a16442907642448350598,nRaeby-tSuu6FeKuUeCVRg,"noodle,halal,exclusive to eats,asian,thai,family meal",thai
Mad Pizza e Bar Darlinghurst,Mad Pizza E Bar,-5.393662250346056,a16244232938436867505,Nj2JkvGuRE2ixP0osXr4tA,"italian,pizza",pizza
Toki Italian Inspired,Toki Italian Inspired,-3.4174961110572446,a15709094324378505588,_pM3UoinSU-p3xi6ldw7Vg,"italian,pasta,comfort food,vegetarian friendly",italian
Chargrill Charlie's (Woollahra),Chargrill Charlie's Woollahra,-5.506004600048307,a5755401655219270430,Wt7C1pmRTryyiXDugionsQ,"chicken,family meal,burger,salad",salad
Mother Chu's Vegetarian Kitchen,Mother Chu's Vegetarian Kitchen,-2.4291408478716514,a9538398008475275116,rDqRMdpcRembUS0GxxSRLg,"vegetarian,noodle,chinese,comfort food,vegan friendly",vegetarian
Lucio Pizzeria Darlinghurst,Lucio Pizzeria,-4.375774833564037,a13119328455199745973,rEiCUWkXTIWD0vCjCKFwzA,"italian,pasta,pizza",pizza
Busshari Authentic Japanese Restaurant,Busshari Authentic Japanese Restaurant,1.9566666666666663,a11746263142785908827,2rqwAwqwQEq08xFb9ltrmQ,"asian fusion,sushi,japanese",japanese
Shortstop Coffee & Donuts (Haymarket),Shortstop Coffee & Donuts,-3.358236057068742,a16427601611015407201,HDYhIZ66QFOaMdss0l74Tg,"comfort food,bakery,modern australian",donut
Health Nuts,Health Nuts,-4.41,a9198934425475048802,lGhp_6EEQCGAAxhtin2onw,"healthy,cafe",health food
Luckin Kitchen,Luckin Kitchen,0.635,a3070971329024917239,JuJ10HFqRjOiyBcJgb5sUQ,"asian fusion,japanese",chinese
Bake Bar (Paddington),Bake Bar,-1.9962568306010933,a6470821034188950437,vG0OdqZCVQmptkJIkc44sg,"coffee and tea,bakery,pastry",coffee
Bake Bar (Double Bay),Bake Bar,-2.8824623846312587,a3495341872038515855,B-zu2RltWJeKZ8zXBDPA7A,"pasta,breakfast and brunch,bakery,burger,sandwich,pastry",coffee
Fu Manchu,Fu Manchu,-1.2850000000000001,a1278494347283986123,WQwgnIKNQ0i8AjBKtCXUyA,"asian,malaysian",asian
Bloom Cafe Aperitivo,Bloom Cafe Aperitivo,-2.0935181383503974,a405161713384461004,VVyIAAnUWm2xeSoUboUtHw,"roll,pasta,breakfast and brunch,sandwich",cafe
Cafe C&M Rushcutters Bay,Cafe C&M (Rushcutters Bay),-6.208510324483775,a6962817075081571153,AC1cwQ4LRM2g6Z34Y9u1yQ,"fast food,dessert,modern australian",cafe
Machiavelli,Machiavelli,-3.9553846153846153,a15066335688358507046,SyCyQgD4TEOAYQuvb167Jg,"italian,pasta",italian
Cafe C&M (Darlinghurst),Cafe C&M (Darlinghurst),-5.414374911781905,a6352868853350116463,tmjinzorTyKgXFPKsfwgwA,"breakfast and brunch,coffee and tea,american",cafe
Chubby Cheeks,Chubby Cheeks,-1.8720076031409696,a17218756475646697554,eRLbsBPcRD2oBBFYxl9kuQ,"vegetarian friendly,noodle,asian fusion,asian,dessert",southeast asian
Cali Press (Double Bay),Cali Press Double Bay,-3.404078115753344,a14368240772810962483,1iGXtXBsSamFfsqczOXtAw,"vegan friendly,sandwich,juice and smoothy,healthy,salad",cafe
PINA,pina Potts Point,-4.056595744680851,a14890764440991376812,QsvlGLx4T2aOFDdtmwkpbw,"roll,chicken,juice and smoothy",cafe
Elements Bar & Grill Darlinghurst,Elements Bar and Grill Darlinghurst,-5.483333333333333,a17715263834036355045,gzP3zsAyRES_b9ZTf3Tz1w,"family meal,bbq,american",steak house
Madame Nhu Surry Hills,Madame Nhu Surry Hills,-1.0208823529411766,a16507147785033949631,gt4LgI0-QXirRHGlhMEp0w,"salad,asian,noodle,vietnamese",vietnamese
Bondi Sushi Express,Bondi Sushi Express,1.0166666666666666,a5338736181360155314,dAreOGGaRByAgWqTgvOdEw,"asian,japanese,japanese set item",sushi
Lotus Double Bay,Lotus Double Bay,-0.6615023474178404,a11848125611002003149,c0EBfNNGR5yJJ8r0iMesEQ,"asian,vegetarian friendly,chinese",chinese
Lotus Dumpling Bar (Walsh Bay),Lotus Dumpling Bar Walsh Bay,-2.0470297777842896,a4833478578703311357,fnMafWE0RSOc0a3NxPQa6Q,"exclusive to eats,asian,chinese",chinese
Lady Chu,Lady Chu,-1.8920000000000001,a2875960684425338361,ttYRiPlIRV6Ty1b04fAz_A,"chinese,french,roll,vietnamese,healthy",restaurant
Bar Luca,Bar Luca,-6.3416248147362655,a12667837430649507928,BJeduKmsTXCmCsj6XGzFcA,"exclusive to eats,comfort food,burger,american",burger
The sandwich stop,The sandwich stop,-1.1906160538916577,a10132020355498516451,FiJBs_I6QuS3r16hfn-D6g,"poke,salad,vegetarian friendly,sandwich",sandwich
Ogalo (Double Bay),OGALO,-6.545175438596491,a2018245538884266358,D0FXMkqpV02AmgQYD4JKgA,"portuguese,bbq,burger,family meal",portuguese
Burgers Anonymous (Darlinghurst),Burgers Anonymous,-6.713930362579611,a16635933142187204048,X_YHt4ycTZyb1p_qKtUjoA,"exclusive to eats,burger,american",burger
Sushi Hotaru,Sushi Hotaru,1.9933333333333332,a4368027631500260332,4kL1hGiwQ-6365h2y0ut1A,"sushi,asian,japanese",sushi
Fishbowl (The Exchange),FISHBOWL - The Exchange,-1.9293993205793696,a11954473983669340781,xP98AcujRZyw5_2JifaXew,"vegetarian,plant based,gluten free,organicproduct,keto,vegan",restaurant
Sandwiches by Bootleg,Sandwiches by Bootleg,-2.291842611222893,a30566125256314424,EorxnNTtTtmTf7DgE1IQfQ,"sandwich,vegan,vegan friendly",cafe
Greenhouse Asian Salads Edgecliff,Greenhouse Asian Salads - Edgecliff,-2.7211764705882353,a10518695442488494242,4iF9_IxYTJ2Vjdf5F01Z9w,"healthy,asian,salad",health food
Thai Power,Thai Power,0.18499999999999997,a17241243213896608101,Qh2dvjMJRACanus0kuFf0A,"asian,thai,soup,noodle",thai
Ume Burger Barangaroo,Ume Burger,-2.9903508771929825,a2451035216763265613,QrMryGgyQSKfOH4prkctMA,"japanese,burger",burger
Guzman y Gomez (Kent Street),Guzman y Gomez - Kent Street,-4.424985652124221,a15465996596435056892,G5zbN6vcTNit7ahtatdiZQ,"breakfast and brunch,taco,burrito,healthy,dessert,family meal,mexican,fast food",mexican
The Rusty Rabbit,The Rusty Rabbit,-4.022177121771217,a5154531698661916904,HYF7pRUNQMaShA3nb5P1wA,"breakfast and brunch,modern australian",cafe
Bootsdarling,Bootsdarling,-4.264971304248441,a5937893410664321358,0YxpMOgBSGKjrOH3-RqzUQ,"cafe,breakfast and brunch,allergy friendly,dessert",cafe
Tropicana Caffe,Tropicana Caffe,-4.2902564102564105,a4392662558611794483,I8NUnz2aTlScO0z-kffC5g,"italian,cafe,modern australian",cafe
Infusion on Clarence,Infusion on Clarence,-3.3042810150682898,a11757490447298351502,xi92BBJATxmVbP7xIKi61w,"sandwich,breakfast and brunch,coffee and tea",cafe
Zeus Street Greek (Surry Hills),Zeus Street Greek Surry Hills,-5.2542857142857144,a7374650157436398566,y3M94OWPTcaBn2yu-s2AqQ,"mediterranean,greek,family meal,vegan friendly",greek
David's Kitchen,David's Kitchen,-0.6615023474178404,a18363414452902241574,AFBuTfNvQjSSQkE-5Kx3DQ,"chinese,asian,vegetarian friendly",asian
Shuk (Elizabeth Bay),Shuk Elizabeth Bay,-4.13101060162222,a10765555574265931023,7Xk_AceISwuRdVB48l0SUg,"coffee and tea,sandwich,breakfast and brunch,burger,healthy,cafe,salad",cafe
Pizza Fritta 180,Pizza Fritta 180,-4.737103458511244,a3345091596983874730,b6ekLygsR3GriANwm9RTkg,"exclusive to eats,european,italian,pizza",italian
Eat Fuh Potts Point,Eat Fuh,-1.359047619047619,a6373800686585822076,U3e-7qXNWaWSHRgXmXAE1g,"roll,vegan friendly,vietnamese",takeout
Viet Senses,Viet Senses,-0.39,a16187421900987381101,4bZrPXVjQ0qe5BYaF85omA,"asian,vietnamese",vietnamese
Kenny's Pork Rolls,Kenny's Pork Rolls,-1.2011764705882353,a7497644575057885480,DgWmWqx1RcSOa2WLjReC3w,"salad,south east asian,vietnamese",restaurant
Khon Thai,Khon Thai,-1.227843137254902,a8343928538508929347,g3zA5bMgRX-Cm1P-0hZpQA,"salad,thai,noodle",thai
Tentaciones Latin Restaurant,Tentaciones Latin Restaurant,-3.491284403669725,a11122201941914073188,_tcCq5COV_yyhmitoBOWoA,"vegetarian,latin american,mexican",colombian
Costi's Fish and Chips (Barangaroo),Costi's Fish & Chips Barangaroo,-4.593700534759359,a2188329152123403780,UAD0mM6oQSK3VIoiErNATw,"australian,fish and chip,family meal,salad","chips takeout,fish"
Mrs Palmer Sandwich,Mrs Palmer Sandwich,-4.256572769953052,a5185657576950999508,OcdPncZTSNmztlKqV_orRg,"american,sandwich,modern australian",sandwich
Menya Noodle Bar,Menya Noodle Bar,0.35529411764705887,a3841202930785004881,035Hn7-GRtKobHrqrVxaLQ,"japanese style curry,asian,japanese,rice bowl,salad",japanese
Fonda Mexican (Surry Hills),Fonda Mexican,-2.827843137254902,a13311652998325584204,i2brUIVITSOsKL6vEsFcNg,"burrito,mexican,salad",mexican
The Sambal,The Sambal,-1.64,a4532889245074354968,qk5OoKRyRfGWn1IIJ8eNkA,"indonesian,asian,allergy friendly",indonesian
Butter Salt Pepper,Butter Salt Pepper,-5.6963541382495535,a4400183224152856495,n-B_ZTvcVeyWwMPszdhlMQ,"breakfast and brunch,comfort food,american",restaurant
Roll'd (Gateway),Roll'd Gateway Sydney,-2.76,a3551945781133277724,rIq2r6tGTCaog0JCBbis6w,"healthy,family meal,asian,vietnamese",vietnamese
Fish at the Rocks,Fish at the Rocks,-5.827090909090909,a6842514718150322620,yQJRB2xXTpumyQOOVNxosA,"healthy,fish and chip,seafood",seafood
Vapiano - King Street,Vapiano King Street,-4.093616839458742,a11440942879865087984,VIN2ZKmYShqjah2gAujqLg,"italian,pasta,pizza,vegan friendly",italian
