uber_Name,google_Name,jelly,fuzzy,uber_full_address,google_full_address,google_cid,uber_id
The Copper Mill,The Copper Mill,1.0,100.0,"338-356 mitchell road, alexandria, NSW 2015","338-356 mitchell rd, alexandria, NSW 2015",a16937583687002028660,QTgYlYy5WX6oU_BqjvpYGw
Rons Handburger,Rons Handburger Marrickville,1.0,100.0,"25 cadogan street, marrickville, NSW 2204","25 cadogan st, marrickville, NSW 2204",a8117303385582439210,o6r2xEH7QxeT1i1cCe6B_Q
Taste Texture,taste Texture,1.0,100.0,"358 botany road, beaconsfield, NSW 2015","358 botany rd, beaconsfield, NSW 2015",a10980185795995959703,mluIs2r2UX2RVryJuOdBOQ
Fluid Espresso,Fluid Espresso,1.0,100.0,"157 queen street, beaconsfield, NSW 2015","157 queen st, beaconsfield, NSW 2015",a7398263649804212545,zoklNNcGTJq46lbG8SpOcA
Mr Sun's Fried Bun,Mr Sun's Fried Bun,1.0,100.0,"shop 6/15 hatbox place, waterloo, NSW 2017","15 hatbox pl, waterloo, NSW 2017",a13556179811882752432,7f590UO5UNenHJWnYAKPTQ
The Renegades,The Renegades Mascot,1.0,100.0,"230 coward st, mascot, NSW 2020","shop 1/230 coward st, mascot, NSW 2020",a13860317192861184452,Fs2uadD-TDCFsU5by9345g
Little Ginger,Little ginger,1.0,100.0,"shop 1/18 gadigal avenue, waterloo, NSW 2017","1/18 gadigal ave, waterloo, NSW 2017",a17904181351977199472,oYRYe5VEVXerRiOgKnhvMw
Cupino Cafe,Cupino Cafe,1.0,100.0,"55 kent rd, mascot, NSW 2020","55 kent rd, mascot, NSW 2020",a543926869671052467,chbcwL2hQ9-qHeDYD3hm7g
Mum's Kitchen,Mum's Kitchen,1.0,100.0,"96 maloney st, eastlakes, NSW 2018","96 maloney st, eastlakes, NSW 2018",a8318628647707648242,SD7T2HXvQn2axoofITmwYQ
Soul Origin (Eastgardens Westfield),Soul Origin Eastgardens Westfield,1.0,100.0,"152 bunnerong rd, eastgardens, NSW 2036","152 bunnerong rd, eastgardens, NSW 2036",a11109389185943066055,L-ORzbJaQSqKzfBTJ6VwSA
Espresso You,Espresso You,1.0,100.0,"1-5 bourke street, mascot, NSW 2020","shop 5/1-5 bourke st, mascot, NSW 2020",a12936766527345028591,XK5kqekJSUy4IqmWkM7zjw
Bloomfield Eatery,Bloomfield Eatery,1.0,100.0,"77 dunning ave, rosebery, NSW 2018","g02/77 dunning ave, rosebery, NSW 2018",a9915235989274147248,8bxVIWFGTeOUravtqfhFkA
Krispy Kreme Auburn,Krispy Kreme Auburn,1.0,100.0,"116 parramatta rd, auburn, NSW 2144","116-124 parramatta rd, auburn, NSW 2144",a16317682553331179739,GNztc_yQQB-x8RO92LKGcw
